

Initialized RTC: 0x01Dev config complete
SCAN START
RSSI: -56 [da:ee:aa:ff:10:4a]

RSSI: -73 [da:ee:aa:ff:0d:4b]

RSSI: -72 [da:ee:aa:ff:0d:6b]

RSSI: -53 [da:ee:aa:ff:10:5a]

RSSI: -72 [da:ee:aa:ff:0d:7b]

RSSI: -58 [da:ee:aa:ff:10:6a]

RSSI: -56 [da:ee:aa:ff:10:7a]

RSSI: -65 [da:ee:aa:ff:0d:bb]

RSSI: -57 [da:ee:aa:ff:10:8a]

RSSI: -54 [da:ee:aa:ff:10:9a]

RSSI: -55 [da:ee:aa:ff:10:9a]

RSSI: -46 [da:ee:aa:ff:10:9a]

RSSI: -51 [da:ee:aa:ff:10:9a]

RSSI: -51 [da:ee:aa:ff:10:9a]

RSSI: -71 [da:ee:aa:ff:0d:eb]

RSSI: -54 [da:ee:aa:ff:10:9a]

RSSI: -71 [da:ee:aa:ff:0d:eb]

RSSI: -41 [da:ee:aa:ff:10:aa]

RSSI: -58 [da:ee:aa:ff:10:aa]

RSSI: -58 [da:ee:aa:ff:10:aa]

RSSI: -74 [da:ee:aa:ff:0e:0b]

RSSI: -58 [da:ee:aa:ff:10:ba]

RSSI: -58 [da:ee:aa:ff:10:ba]

RSSI: -58 [da:ee:aa:ff:10:ba]

RSSI: -58 [da:ee:aa:ff:10:ba]

RSSI: -58 [da:ee:aa:ff:10:ba]

RSSI: -57 [da:ee:aa:ff:10:ba]

RSSI: -58 [da:ee:aa:ff:10:ba]

RSSI: -74 [da:ee:aa:ff:0e:2b]

RSSI: -74 [da:ee:aa:ff:0e:2b]

RSSI: -91 [da:ee:aa:ff:03:3c]

RSSI: -74 [da:ee:aa:ff:0e:2b]

RSSI: -55 [da:ee:aa:ff:10:fa]

RSSI: -72 [da:ee:aa:ff:0e:4b]

RSSI: -73 [da:ee:aa:ff:0e:4b]

RSSI: -73 [da:ee:aa:ff:0e:4b]

RSSI: -73 [da:ee:aa:ff:0e:4b]

RSSI: -73 [da:ee:aa:ff:0e:4b]

RSSI: -73 [da:ee:aa:ff:0e:4b]

RSSI: -73 [da:ee:aa:ff:0e:4b]

RSSI: -73 [da:ee:aa:ff:0e:4b]

RSSI: -56 [da:ee:aa:ff:11:0a]

RSSI: -77 [da:ee:aa:ff:0e:5b]

RSSI: -60 [da:ee:aa:ff:11:0a]

RSSI: -60 [da:ee:aa:ff:11:0a]

RSSI: -76 [da:ee:aa:ff:0e:5b]

RSSI: -60 [da:ee:aa:ff:11:2a]

RSSI: -60 [da:ee:aa:ff:11:2a]

RSSI: -60 [da:ee:aa:ff:11:2a]

RSSI: -77 [da:ee:aa:ff:0e:6b]

RSSI: -60 [da:ee:aa:ff:11:2a]

RSSI: -77 [da:ee:aa:ff:0e:6b]

RSSI: -60 [da:ee:aa:ff:11:2a]

RSSI: -76 [da:ee:aa:ff:0e:6b]

RSSI: -60 [da:ee:aa:ff:11:2a]

RSSI: -77 [da:ee:aa:ff:0e:6b]

RSSI: -60 [da:ee:aa:ff:11:2a]

RSSI: -55 [da:ee:aa:ff:11:3a]

RSSI: -89 [da:ee:aa:ff:03:9c]

RSSI: -55 [da:ee:aa:ff:11:3a]

RSSI: -88 [da:ee:aa:ff:03:9c]

RSSI: -55 [da:ee:aa:ff:11:3a]

RSSI: -71 [da:ee:aa:ff:0e:8b]

RSSI: -55 [da:ee:aa:ff:11:3a]

RSSI: -71 [da:ee:aa:ff:0e:8b]

RSSI: -55 [da:ee:aa:ff:11:3a]

RSSI: -71 [da:ee:aa:ff:0e:8b]

RSSI: -71 [da:ee:aa:ff:0e:8b]

RSSI: -72 [da:ee:aa:ff:0e:8b]

RSSI: -89 [da:ee:aa:ff:03:ac]

RSSI: -56 [da:ee:aa:ff:0e:9b]

RSSI: -56 [da:ee:aa:ff:11:5a]

RSSI: -56 [da:ee:aa:ff:0e:9b]

RSSI: -56 [da:ee:aa:ff:11:5a]

RSSI: -73 [da:ee:aa:ff:0e:bb]

RSSI: -56 [da:ee:aa:ff:11:5a]

RSSI: -56 [da:ee:aa:ff:11:5a]

RSSI: -57 [da:ee:aa:ff:0e:bb]

RSSI: -56 [da:ee:aa:ff:11:5a]

RSSI: -73 [da:ee:aa:ff:0e:bb]

RSSI: -57 [da:ee:aa:ff:11:5a]

RSSI: -56 [da:ee:aa:ff:0e:bb]

RSSI: -66 [da:ee:aa:ff:0e:bb]

RSSI: -74 [da:ee:aa:ff:0e:db]

RSSI: -74 [da:ee:aa:ff:0e:db]

RSSI: -57 [da:ee:aa:ff:11:6a]

RSSI: -74 [da:ee:aa:ff:0e:db]

RSSI: -74 [da:ee:aa:ff:0e:db]

RSSI: -74 [da:ee:aa:ff:0e:db]

RSSI: -75 [da:ee:aa:ff:0e:db]

RSSI: -57 [da:ee:aa:ff:11:8a]

RSSI: -74 [da:ee:aa:ff:0e:db]

RSSI: -57 [da:ee:aa:ff:11:8a]

RSSI: -74 [da:ee:aa:ff:0e:eb]

RSSI: -53 [da:ee:aa:ff:11:9a]

RSSI: -70 [da:ee:aa:ff:0e:eb]

RSSI: -53 [da:ee:aa:ff:11:9a]

RSSI: -87 [da:ee:aa:ff:03:fc]

RSSI: -53 [da:ee:aa:ff:11:9a]

RSSI: -53 [da:ee:aa:ff:11:9a]

RSSI: -69 [da:ee:aa:ff:0f:0b]

RSSI: -53 [da:ee:aa:ff:11:9a]

RSSI: -69 [da:ee:aa:ff:0f:0b]

RSSI: -70 [da:ee:aa:ff:0f:0b]

RSSI: -53 [da:ee:aa:ff:11:aa]

RSSI: -69 [da:ee:aa:ff:0f:0b]

RSSI: -70 [da:ee:aa:ff:0f:0b]

RSSI: -70 [da:ee:aa:ff:0f:0b]

RSSI: -74 [da:ee:aa:ff:0f:2b]

RSSI: -55 [da:ee:aa:ff:11:ba]

RSSI: -74 [da:ee:aa:ff:0f:2b]

RSSI: -55 [da:ee:aa:ff:11:ba]

RSSI: -74 [da:ee:aa:ff:0f:2b]

RSSI: -55 [da:ee:aa:ff:11:ba]

RSSI: -74 [da:ee:aa:ff:0f:2b]

RSSI: -55 [da:ee:aa:ff:11:ba]

RSSI: -74 [da:ee:aa:ff:0f:2b]

RSSI: -55 [da:ee:aa:ff:11:ba]

RSSI: -73 [da:ee:aa:ff:0f:2b]

RSSI: -55 [da:ee:aa:ff:11:ba]

RSSI: -55 [da:ee:aa:ff:11:ba]

RSSI: -55 [da:ee:aa:ff:11:ba]

RSSI: -73 [da:ee:aa:ff:0f:3b]

RSSI: -74 [da:ee:aa:ff:0f:3b]

RSSI: -55 [da:ee:aa:ff:11:da]

RSSI: -73 [da:ee:aa:ff:0f:3b]

RSSI: -56 [da:ee:aa:ff:11:da]

RSSI: -56 [da:ee:aa:ff:11:da]

RSSI: -73 [da:ee:aa:ff:0f:5b]

RSSI: -73 [da:ee:aa:ff:0f:5b]

RSSI: -55 [da:ee:aa:ff:11:ea]

RSSI: -73 [da:ee:aa:ff:0f:5b]

RSSI: -55 [da:ee:aa:ff:11:ea]

RSSI: -92 [da:ee:aa:ff:04:4c]

RSSI: -73 [da:ee:aa:ff:0f:5b]

RSSI: -55 [da:ee:aa:ff:11:ea]

RSSI: -73 [da:ee:aa:ff:0f:5b]

RSSI: -56 [da:ee:aa:ff:11:ea]

RSSI: -73 [da:ee:aa:ff:0f:5b]

RSSI: -55 [da:ee:aa:ff:11:ea]

RSSI: -72 [da:ee:aa:ff:0f:5b]

RSSI: -55 [da:ee:aa:ff:11:ea]

RSSI: -53 [da:ee:aa:ff:11:fa]

RSSI: -69 [da:ee:aa:ff:0f:7b]

RSSI: -53 [da:ee:aa:ff:11:fa]

RSSI: -69 [da:ee:aa:ff:0f:7b]

RSSI: -53 [da:ee:aa:ff:11:fa]

RSSI: -69 [da:ee:aa:ff:0f:7b]

RSSI: -53 [da:ee:aa:ff:11:fa]

RSSI: -69 [da:ee:aa:ff:0f:7b]

RSSI: -53 [da:ee:aa:ff:11:fa]

RSSI: -53 [da:ee:aa:ff:12:0a]

RSSI: -69 [da:ee:aa:ff:0f:9b]

RSSI: -53 [da:ee:aa:ff:12:0a]

RSSI: -53 [da:ee:aa:ff:12:0a]

RSSI: -69 [da:ee:aa:ff:0f:9b]

RSSI: -56 [da:ee:aa:ff:12:1a]

RSSI: -74 [da:ee:aa:ff:0f:bb]

RSSI: -56 [da:ee:aa:ff:12:1a]

RSSI: -74 [da:ee:aa:ff:0f:bb]

RSSI: -56 [da:ee:aa:ff:12:1a]

RSSI: -73 [da:ee:aa:ff:0f:bb]

RSSI: -56 [da:ee:aa:ff:12:1a]

RSSI: -73 [da:ee:aa:ff:0f:bb]

RSSI: -56 [da:ee:aa:ff:12:1a]

RSSI: -74 [da:ee:aa:ff:0f:bb]

RSSI: -56 [da:ee:aa:ff:12:1a]

RSSI: -73 [da:ee:aa:ff:0f:bb]

RSSI: -56 [da:ee:aa:ff:12:1a]

RSSI: -73 [da:ee:aa:ff:0f:bb]

RSSI: -56 [da:ee:aa:ff:12:1a]

RSSI: -73 [da:ee:aa:ff:0f:bb]

RSSI: -73 [da:ee:aa:ff:0f:bb]

RSSI: -56 [da:ee:aa:ff:12:2a]

RSSI: -56 [da:ee:aa:ff:0f:db]

RSSI: -55 [da:ee:aa:ff:12:2a]

RSSI: -55 [da:ee:aa:ff:12:2a]

