

Initialized RTC: 0x01Dev config complete
SCAN START
RSSI: -53 [da:ee:aa:ff:08:0a]

RSSI: -66 [da:ee:aa:ff:07:3b]

RSSI: -81 [da:ee:aa:ff:12:cc]

RSSI: -67 [da:ee:aa:ff:07:4b]

RSSI: -51 [da:ee:aa:ff:08:3a]

RSSI: -87 [da:ee:aa:ff:12:ec]

RSSI: -51 [da:ee:aa:ff:08:4a]

RSSI: -69 [da:ee:aa:ff:07:8b]

RSSI: -81 [da:ee:aa:ff:12:fc]

RSSI: -38 [da:ee:aa:ff:08:5a]

RSSI: -53 [da:ee:aa:ff:08:7a]

RSSI: -73 [da:ee:aa:ff:07:ab]

RSSI: -53 [da:ee:aa:ff:08:7a]

RSSI: -81 [da:ee:aa:ff:13:2c]

RSSI: -73 [da:ee:aa:ff:07:ab]

RSSI: -53 [da:ee:aa:ff:08:7a]

RSSI: -81 [da:ee:aa:ff:13:2c]

RSSI: -53 [da:ee:aa:ff:08:7a]

RSSI: -72 [da:ee:aa:ff:07:cb]

RSSI: -72 [da:ee:aa:ff:07:cb]

RSSI: -71 [da:ee:aa:ff:07:eb]

RSSI: -51 [da:ee:aa:ff:08:aa]

RSSI: -69 [da:ee:aa:ff:07:eb]

RSSI: -51 [da:ee:aa:ff:08:aa]

RSSI: -70 [da:ee:aa:ff:07:eb]

RSSI: -51 [da:ee:aa:ff:08:aa]

RSSI: -70 [da:ee:aa:ff:07:eb]

RSSI: -51 [da:ee:aa:ff:08:aa]

RSSI: -70 [da:ee:aa:ff:07:eb]

RSSI: -51 [da:ee:aa:ff:08:aa]

RSSI: -82 [da:ee:aa:ff:13:6c]

RSSI: -69 [da:ee:aa:ff:07:fb]

RSSI: -80 [da:ee:aa:ff:13:6c]

RSSI: -81 [da:ee:aa:ff:13:6c]

RSSI: -51 [da:ee:aa:ff:08:ea]

RSSI: -81 [da:ee:aa:ff:13:6c]

RSSI: -69 [da:ee:aa:ff:08:0b]

RSSI: -50 [da:ee:aa:ff:08:ea]

RSSI: -81 [da:ee:aa:ff:13:6c]

RSSI: -51 [da:ee:aa:ff:08:ea]

RSSI: -53 [da:ee:aa:ff:08:fa]

RSSI: -72 [da:ee:aa:ff:08:2b]

RSSI: -53 [da:ee:aa:ff:08:fa]

RSSI: -72 [da:ee:aa:ff:08:2b]

RSSI: -53 [da:ee:aa:ff:08:fa]

RSSI: -72 [da:ee:aa:ff:08:2b]

RSSI: -53 [da:ee:aa:ff:08:fa]

RSSI: -73 [da:ee:aa:ff:08:2b]

RSSI: -53 [da:ee:aa:ff:09:1a]

RSSI: -51 [da:ee:aa:ff:09:2a]

RSSI: -52 [da:ee:aa:ff:09:2a]

RSSI: -53 [da:ee:aa:ff:08:5b]

RSSI: -52 [da:ee:aa:ff:09:2a]

RSSI: -70 [da:ee:aa:ff:08:5b]

RSSI: -52 [da:ee:aa:ff:09:2a]

RSSI: -60 [da:ee:aa:ff:08:7b]

RSSI: -80 [da:ee:aa:ff:13:bc]

RSSI: -65 [da:ee:aa:ff:08:7b]

RSSI: -80 [da:ee:aa:ff:13:bc]

RSSI: -50 [da:ee:aa:ff:09:5a]

RSSI: -72 [da:ee:aa:ff:08:bb]

RSSI: -81 [da:ee:aa:ff:13:dc]

RSSI: -41 [da:ee:aa:ff:09:6a]

RSSI: -73 [da:ee:aa:ff:08:bb]

RSSI: -53 [da:ee:aa:ff:09:6a]

RSSI: -81 [da:ee:aa:ff:13:ec]

RSSI: -52 [da:ee:aa:ff:09:8a]

RSSI: -70 [da:ee:aa:ff:08:cb]

RSSI: -52 [da:ee:aa:ff:09:8a]

RSSI: -70 [da:ee:aa:ff:08:cb]

RSSI: -52 [da:ee:aa:ff:09:8a]

RSSI: -70 [da:ee:aa:ff:08:cb]

RSSI: -52 [da:ee:aa:ff:09:8a]

RSSI: -51 [da:ee:aa:ff:09:8a]

RSSI: -81 [da:ee:aa:ff:14:2c]

RSSI: -69 [da:ee:aa:ff:09:0b]

RSSI: -81 [da:ee:aa:ff:14:2c]

RSSI: -69 [da:ee:aa:ff:09:0b]

RSSI: -51 [da:ee:aa:ff:09:ba]

