

Initialized RTC: 0x01Dev config complete
SCAN START
RSSI: -74 [da:ee:aa:ff:00:1b]

RSSI: -74 [da:ee:aa:ff:00:1b]

RSSI: -74 [da:ee:aa:ff:00:1b]

RSSI: -73 [da:ee:aa:ff:00:1b]

RSSI: -74 [da:ee:aa:ff:00:1b]

RSSI: -74 [da:ee:aa:ff:00:1b]

RSSI: -74 [da:ee:aa:ff:00:1b]

RSSI: -74 [da:ee:aa:ff:00:3b]

RSSI: -74 [da:ee:aa:ff:00:3b]

RSSI: -55 [da:ee:aa:ff:00:1a]

RSSI: -73 [da:ee:aa:ff:00:2c]

RSSI: -55 [da:ee:aa:ff:00:1a]

RSSI: -72 [da:ee:aa:ff:00:2c]

RSSI: -55 [da:ee:aa:ff:00:1a]

RSSI: -54 [da:ee:aa:ff:00:1a]

RSSI: -65 [da:ee:aa:ff:00:5b]

RSSI: -55 [da:ee:aa:ff:00:3a]

RSSI: -72 [da:ee:aa:ff:00:4c]

RSSI: -54 [da:ee:aa:ff:00:3a]

RSSI: -72 [da:ee:aa:ff:00:4c]

RSSI: -54 [da:ee:aa:ff:00:3a]

RSSI: -72 [da:ee:aa:ff:00:4c]

RSSI: -54 [da:ee:aa:ff:00:3a]

RSSI: -72 [da:ee:aa:ff:00:4c]

RSSI: -68 [da:ee:aa:ff:00:4c]

RSSI: -55 [da:ee:aa:ff:00:6c]

RSSI: -53 [da:ee:aa:ff:00:6b]

RSSI: -74 [da:ee:aa:ff:00:6c]

RSSI: -54 [da:ee:aa:ff:00:5a]

RSSI: -54 [da:ee:aa:ff:00:6c]

RSSI: -55 [da:ee:aa:ff:00:6c]

RSSI: -73 [da:ee:aa:ff:00:8b]

RSSI: -67 [da:ee:aa:ff:00:8b]

RSSI: -37 [da:ee:aa:ff:00:6a]

RSSI: -48 [da:ee:aa:ff:00:6a]

RSSI: -72 [da:ee:aa:ff:00:ab]

RSSI: -77 [da:ee:aa:ff:00:ac]

RSSI: -54 [da:ee:aa:ff:00:ab]

RSSI: -54 [da:ee:aa:ff:00:ab]

RSSI: -45 [da:ee:aa:ff:00:8a]

RSSI: -54 [da:ee:aa:ff:00:ab]

RSSI: -54 [da:ee:aa:ff:00:ab]

