

Initialized RTC: 0x01Dev config complete
SCAN START
RSSI: -74 [da:ee:aa:ff:04:fb]

RSSI: -64 [da:ee:aa:ff:08:8a]

RSSI: -73 [da:ee:aa:ff:05:1b]

RSSI: -67 [da:ee:aa:ff:08:aa]

RSSI: -84 [da:ee:aa:ff:11:ec]

RSSI: -72 [da:ee:aa:ff:05:3b]

RSSI: -73 [da:ee:aa:ff:05:5b]

RSSI: -64 [da:ee:aa:ff:08:da]

RSSI: -83 [da:ee:aa:ff:11:fc]

RSSI: -83 [da:ee:aa:ff:12:0c]

RSSI: -86 [da:ee:aa:ff:12:1c]

RSSI: -74 [da:ee:aa:ff:05:6b]

RSSI: -64 [da:ee:aa:ff:08:fa]

RSSI: -64 [da:ee:aa:ff:08:fa]

RSSI: -74 [da:ee:aa:ff:05:8b]

RSSI: -64 [da:ee:aa:ff:08:fa]

RSSI: -63 [da:ee:aa:ff:05:8b]

RSSI: -64 [da:ee:aa:ff:05:9b]

RSSI: -66 [da:ee:aa:ff:09:1a]

RSSI: -66 [da:ee:aa:ff:09:1a]

RSSI: -72 [da:ee:aa:ff:05:9b]

RSSI: -66 [da:ee:aa:ff:09:1a]

RSSI: -72 [da:ee:aa:ff:05:9b]

RSSI: -66 [da:ee:aa:ff:09:1a]

RSSI: -72 [da:ee:aa:ff:05:9b]

RSSI: -83 [da:ee:aa:ff:12:5c]

RSSI: -73 [da:ee:aa:ff:05:cb]

RSSI: -62 [da:ee:aa:ff:09:2a]

RSSI: -83 [da:ee:aa:ff:12:5c]

RSSI: -73 [da:ee:aa:ff:05:cb]

RSSI: -73 [da:ee:aa:ff:05:cb]

RSSI: -73 [da:ee:aa:ff:05:cb]

RSSI: -74 [da:ee:aa:ff:05:db]

RSSI: -63 [da:ee:aa:ff:09:5a]

RSSI: -74 [da:ee:aa:ff:05:db]

RSSI: -63 [da:ee:aa:ff:09:5a]

RSSI: -73 [da:ee:aa:ff:05:db]

RSSI: -64 [da:ee:aa:ff:09:5a]

RSSI: -85 [da:ee:aa:ff:12:7c]

RSSI: -63 [da:ee:aa:ff:09:5a]

RSSI: -85 [da:ee:aa:ff:12:7c]

RSSI: -73 [da:ee:aa:ff:05:eb]

RSSI: -72 [da:ee:aa:ff:06:0b]

RSSI: -66 [da:ee:aa:ff:09:7a]

RSSI: -71 [da:ee:aa:ff:06:0b]

RSSI: -83 [da:ee:aa:ff:12:9c]

