

Initialized RTC: 0x01Dev config complete
SCAN START
RSSI: -82 [da:ee:aa:ff:06:2c]

RSSI: -57 [da:ee:aa:ff:09:4a]

RSSI: -76 [da:ee:aa:ff:09:eb]

RSSI: -75 [da:ee:aa:ff:09:fb]

RSSI: -57 [da:ee:aa:ff:09:6a]

RSSI: -73 [da:ee:aa:ff:0a:0b]

RSSI: -53 [da:ee:aa:ff:09:7a]

RSSI: -82 [da:ee:aa:ff:06:4c]

RSSI: -82 [da:ee:aa:ff:06:6c]

RSSI: -73 [da:ee:aa:ff:0a:1b]

RSSI: -81 [da:ee:aa:ff:06:6c]

RSSI: -73 [da:ee:aa:ff:0a:1b]

RSSI: -73 [da:ee:aa:ff:0a:1b]

RSSI: -82 [da:ee:aa:ff:06:6c]

RSSI: -73 [da:ee:aa:ff:0a:1b]

RSSI: -53 [da:ee:aa:ff:09:9a]

RSSI: -82 [da:ee:aa:ff:06:6c]

RSSI: -52 [da:ee:aa:ff:09:9a]

RSSI: -52 [da:ee:aa:ff:09:9a]

RSSI: -52 [da:ee:aa:ff:09:9a]

RSSI: -52 [da:ee:aa:ff:09:ba]

RSSI: -52 [da:ee:aa:ff:09:ba]

RSSI: -52 [da:ee:aa:ff:09:ba]

RSSI: -76 [da:ee:aa:ff:0a:2b]

RSSI: -52 [da:ee:aa:ff:09:ba]

RSSI: -52 [da:ee:aa:ff:09:ba]

RSSI: -52 [da:ee:aa:ff:09:ba]

RSSI: -81 [da:ee:aa:ff:06:9c]

RSSI: -56 [da:ee:aa:ff:09:ca]

RSSI: -75 [da:ee:aa:ff:0a:3b]

RSSI: -83 [da:ee:aa:ff:06:9c]

RSSI: -56 [da:ee:aa:ff:09:ca]

RSSI: -75 [da:ee:aa:ff:0a:3b]

RSSI: -56 [da:ee:aa:ff:09:ca]

RSSI: -83 [da:ee:aa:ff:06:bc]

RSSI: -75 [da:ee:aa:ff:0a:4b]

RSSI: -56 [da:ee:aa:ff:09:ca]

RSSI: -75 [da:ee:aa:ff:0a:4b]

RSSI: -56 [da:ee:aa:ff:09:ca]

RSSI: -75 [da:ee:aa:ff:0a:4b]

RSSI: -56 [da:ee:aa:ff:09:ca]

RSSI: -83 [da:ee:aa:ff:06:bc]

RSSI: -75 [da:ee:aa:ff:0a:4b]

RSSI: -83 [da:ee:aa:ff:06:bc]

RSSI: -56 [da:ee:aa:ff:09:ea]

RSSI: -75 [da:ee:aa:ff:0a:4b]

RSSI: -83 [da:ee:aa:ff:06:bc]

RSSI: -56 [da:ee:aa:ff:09:ea]

RSSI: -75 [da:ee:aa:ff:0a:4b]

RSSI: -83 [da:ee:aa:ff:06:bc]

RSSI: -57 [da:ee:aa:ff:09:ea]

RSSI: -75 [da:ee:aa:ff:0a:4b]

RSSI: -53 [da:ee:aa:ff:09:ea]

RSSI: -73 [da:ee:aa:ff:0a:6b]

RSSI: -82 [da:ee:aa:ff:06:dc]

RSSI: -73 [da:ee:aa:ff:0a:6b]

RSSI: -83 [da:ee:aa:ff:06:dc]

RSSI: -73 [da:ee:aa:ff:0a:6b]

RSSI: -40 [da:ee:aa:ff:0a:0a]

RSSI: -82 [da:ee:aa:ff:06:dc]

RSSI: -72 [da:ee:aa:ff:0a:6b]

RSSI: -81 [da:ee:aa:ff:06:dc]

RSSI: -73 [da:ee:aa:ff:0a:6b]

RSSI: -51 [da:ee:aa:ff:0a:0a]

RSSI: -73 [da:ee:aa:ff:0a:6b]

RSSI: -39 [da:ee:aa:ff:0a:0a]

RSSI: -82 [da:ee:aa:ff:06:dc]

RSSI: -73 [da:ee:aa:ff:0a:8b]

RSSI: -73 [da:ee:aa:ff:0a:8b]

RSSI: -73 [da:ee:aa:ff:0a:8b]

RSSI: -78 [da:ee:aa:ff:06:ec]

RSSI: -50 [da:ee:aa:ff:0a:1a]

RSSI: -51 [da:ee:aa:ff:0a:1a]

RSSI: -77 [da:ee:aa:ff:07:0c]

RSSI: -51 [da:ee:aa:ff:0a:1a]

RSSI: -77 [da:ee:aa:ff:07:0c]

RSSI: -76 [da:ee:aa:ff:0a:9b]

RSSI: -78 [da:ee:aa:ff:07:0c]

RSSI: -77 [da:ee:aa:ff:07:0c]

RSSI: -75 [da:ee:aa:ff:0a:9b]

RSSI: -78 [da:ee:aa:ff:07:0c]

RSSI: -51 [da:ee:aa:ff:0a:2a]

RSSI: -75 [da:ee:aa:ff:0a:9b]

RSSI: -78 [da:ee:aa:ff:07:0c]

RSSI: -51 [da:ee:aa:ff:0a:2a]

RSSI: -76 [da:ee:aa:ff:0a:9b]

RSSI: -51 [da:ee:aa:ff:0a:2a]

RSSI: -83 [da:ee:aa:ff:07:1c]

RSSI: -82 [da:ee:aa:ff:07:1c]

RSSI: -83 [da:ee:aa:ff:07:1c]

RSSI: -57 [da:ee:aa:ff:0a:4a]

RSSI: -57 [da:ee:aa:ff:0a:4a]

RSSI: -56 [da:ee:aa:ff:0a:4a]

RSSI: -75 [da:ee:aa:ff:0a:cb]

RSSI: -72 [da:ee:aa:ff:0a:db]

RSSI: -53 [da:ee:aa:ff:0a:5a]

RSSI: -73 [da:ee:aa:ff:0a:db]

RSSI: -53 [da:ee:aa:ff:0a:5a]

RSSI: -73 [da:ee:aa:ff:0a:db]

RSSI: -81 [da:ee:aa:ff:07:4c]

RSSI: -53 [da:ee:aa:ff:0a:5a]

RSSI: -74 [da:ee:aa:ff:0a:db]

RSSI: -82 [da:ee:aa:ff:07:4c]

RSSI: -72 [da:ee:aa:ff:0a:db]

RSSI: -53 [da:ee:aa:ff:0a:7a]

RSSI: -81 [da:ee:aa:ff:07:4c]

RSSI: -73 [da:ee:aa:ff:0a:db]

RSSI: -53 [da:ee:aa:ff:0a:7a]

RSSI: -82 [da:ee:aa:ff:07:4c]

RSSI: -73 [da:ee:aa:ff:0a:db]

RSSI: -53 [da:ee:aa:ff:0a:7a]

RSSI: -81 [da:ee:aa:ff:07:4c]

RSSI: -53 [da:ee:aa:ff:0a:7a]

RSSI: -72 [da:ee:aa:ff:0a:fb]

RSSI: -53 [da:ee:aa:ff:0a:7a]

RSSI: -81 [da:ee:aa:ff:07:4c]

RSSI: -72 [da:ee:aa:ff:0a:fb]

RSSI: -77 [da:ee:aa:ff:07:6c]

RSSI: -51 [da:ee:aa:ff:0a:9a]

RSSI: -78 [da:ee:aa:ff:07:6c]

RSSI: -51 [da:ee:aa:ff:0a:9a]

RSSI: -77 [da:ee:aa:ff:07:6c]

RSSI: -51 [da:ee:aa:ff:0a:9a]

RSSI: -75 [da:ee:aa:ff:0b:0b]

RSSI: -51 [da:ee:aa:ff:0a:9a]

RSSI: -75 [da:ee:aa:ff:0b:0b]

RSSI: -51 [da:ee:aa:ff:0a:9a]

RSSI: -75 [da:ee:aa:ff:0b:0b]

