

Initialized RTC: 0x01Dev config complete
SCAN START
RSSI: -74 [da:ee:aa:ff:12:5b]

RSSI: -83 [da:ee:aa:ff:0e:2c]

RSSI: -50 [da:ee:aa:ff:04:8a]

RSSI: -79 [da:ee:aa:ff:0e:3c]

RSSI: -70 [da:ee:aa:ff:12:8b]

RSSI: -61 [da:ee:aa:ff:04:9a]

RSSI: -79 [da:ee:aa:ff:0e:4c]

RSSI: -62 [da:ee:aa:ff:04:ba]

RSSI: -71 [da:ee:aa:ff:12:9b]

RSSI: -81 [da:ee:aa:ff:0e:5c]

RSSI: -81 [da:ee:aa:ff:0e:5c]

RSSI: -70 [da:ee:aa:ff:12:ab]

RSSI: -80 [da:ee:aa:ff:0e:5c]

RSSI: -70 [da:ee:aa:ff:12:ab]

RSSI: -70 [da:ee:aa:ff:12:ab]

RSSI: -70 [da:ee:aa:ff:12:ab]

RSSI: -63 [da:ee:aa:ff:04:ca]

RSSI: -81 [da:ee:aa:ff:0e:6c]

RSSI: -70 [da:ee:aa:ff:12:ab]

RSSI: -63 [da:ee:aa:ff:04:ca]

RSSI: -64 [da:ee:aa:ff:04:ca]

RSSI: -74 [da:ee:aa:ff:12:bb]

RSSI: -74 [da:ee:aa:ff:12:bb]

RSSI: -64 [da:ee:aa:ff:04:ea]

RSSI: -74 [da:ee:aa:ff:12:bb]

RSSI: -63 [da:ee:aa:ff:04:ea]

RSSI: -74 [da:ee:aa:ff:12:bb]

RSSI: -63 [da:ee:aa:ff:04:ea]

RSSI: -84 [da:ee:aa:ff:0e:7c]

RSSI: -73 [da:ee:aa:ff:12:bb]

RSSI: -84 [da:ee:aa:ff:0e:7c]

RSSI: -74 [da:ee:aa:ff:12:bb]

RSSI: -64 [da:ee:aa:ff:04:ea]

RSSI: -74 [da:ee:aa:ff:12:bb]

RSSI: -63 [da:ee:aa:ff:04:ea]

RSSI: -64 [da:ee:aa:ff:04:ea]

RSSI: -64 [da:ee:aa:ff:04:ea]

RSSI: -62 [da:ee:aa:ff:05:0a]

RSSI: -79 [da:ee:aa:ff:0e:9c]

RSSI: -71 [da:ee:aa:ff:12:cb]

RSSI: -62 [da:ee:aa:ff:05:0a]

RSSI: -78 [da:ee:aa:ff:0e:9c]

RSSI: -61 [da:ee:aa:ff:05:0a]

RSSI: -78 [da:ee:aa:ff:0e:9c]

RSSI: -71 [da:ee:aa:ff:12:db]

