

Initialized RTC: 0x01Dev config complete
SCAN START
RSSI: -74 [da:ee:aa:ff:0b:db]

RSSI: -46 [da:ee:aa:ff:10:5a]

RSSI: -74 [da:ee:aa:ff:0b:eb]

RSSI: -59 [da:ee:aa:ff:10:7a]

RSSI: -72 [da:ee:aa:ff:0b:fb]

RSSI: -59 [da:ee:aa:ff:10:8a]

RSSI: -71 [da:ee:aa:ff:0c:0b]

RSSI: -56 [da:ee:aa:ff:10:aa]

RSSI: -69 [da:ee:aa:ff:0c:2b]

RSSI: -69 [da:ee:aa:ff:0c:2b]

RSSI: -70 [da:ee:aa:ff:0c:2b]

RSSI: -69 [da:ee:aa:ff:0c:2b]

RSSI: -69 [da:ee:aa:ff:0c:2b]

RSSI: -69 [da:ee:aa:ff:0c:2b]

RSSI: -56 [da:ee:aa:ff:10:ca]

RSSI: -70 [da:ee:aa:ff:0c:2b]

RSSI: -74 [da:ee:aa:ff:0c:3b]

RSSI: -59 [da:ee:aa:ff:10:ca]

RSSI: -74 [da:ee:aa:ff:0c:3b]

RSSI: -74 [da:ee:aa:ff:0c:3b]

RSSI: -74 [da:ee:aa:ff:0c:3b]

RSSI: -59 [da:ee:aa:ff:10:da]

RSSI: -74 [da:ee:aa:ff:0c:3b]

RSSI: -59 [da:ee:aa:ff:10:da]

RSSI: -90 [da:ee:aa:ff:06:0c]

RSSI: -59 [da:ee:aa:ff:10:da]

RSSI: -74 [da:ee:aa:ff:0c:4b]

RSSI: -59 [da:ee:aa:ff:10:da]

RSSI: -59 [da:ee:aa:ff:10:da]

RSSI: -73 [da:ee:aa:ff:0c:4b]

RSSI: -59 [da:ee:aa:ff:10:da]

RSSI: -73 [da:ee:aa:ff:0c:4b]

RSSI: -59 [da:ee:aa:ff:10:da]

RSSI: -58 [da:ee:aa:ff:10:fa]

RSSI: -71 [da:ee:aa:ff:0c:5b]

RSSI: -58 [da:ee:aa:ff:10:fa]

RSSI: -58 [da:ee:aa:ff:10:fa]

RSSI: -71 [da:ee:aa:ff:0c:5b]

RSSI: -58 [da:ee:aa:ff:10:fa]

RSSI: -71 [da:ee:aa:ff:0c:5b]

RSSI: -58 [da:ee:aa:ff:10:fa]

RSSI: -71 [da:ee:aa:ff:0c:5b]

RSSI: -58 [da:ee:aa:ff:10:fa]

RSSI: -71 [da:ee:aa:ff:0c:5b]

RSSI: -71 [da:ee:aa:ff:0c:5b]

RSSI: -71 [da:ee:aa:ff:0c:5b]

RSSI: -58 [da:ee:aa:ff:11:0a]

RSSI: -58 [da:ee:aa:ff:11:0a]

RSSI: -69 [da:ee:aa:ff:0c:6b]

RSSI: -69 [da:ee:aa:ff:0c:6b]

RSSI: -70 [da:ee:aa:ff:0c:6b]

RSSI: -56 [da:ee:aa:ff:11:1a]

RSSI: -56 [da:ee:aa:ff:11:1a]

RSSI: -60 [da:ee:aa:ff:0c:8b]

RSSI: -55 [da:ee:aa:ff:11:1a]

RSSI: -52 [da:ee:aa:ff:0c:8b]

RSSI: -56 [da:ee:aa:ff:11:1a]

RSSI: -68 [da:ee:aa:ff:0c:8b]

RSSI: -56 [da:ee:aa:ff:11:1a]

RSSI: -63 [da:ee:aa:ff:0c:8b]

RSSI: -56 [da:ee:aa:ff:11:1a]

RSSI: -52 [da:ee:aa:ff:0c:8b]

RSSI: -56 [da:ee:aa:ff:11:1a]

RSSI: -57 [da:ee:aa:ff:0c:ab]

RSSI: -89 [da:ee:aa:ff:06:6c]

RSSI: -60 [da:ee:aa:ff:11:3a]

RSSI: -72 [da:ee:aa:ff:0c:ab]

RSSI: -60 [da:ee:aa:ff:11:3a]

RSSI: -74 [da:ee:aa:ff:0c:ab]

RSSI: -59 [da:ee:aa:ff:11:3a]

RSSI: -57 [da:ee:aa:ff:0c:ab]

RSSI: -59 [da:ee:aa:ff:11:3a]

RSSI: -74 [da:ee:aa:ff:0c:ab]

RSSI: -59 [da:ee:aa:ff:11:3a]

RSSI: -73 [da:ee:aa:ff:0c:ab]

RSSI: -74 [da:ee:aa:ff:0c:ab]

RSSI: -59 [da:ee:aa:ff:11:4a]

RSSI: -59 [da:ee:aa:ff:11:4a]

RSSI: -57 [da:ee:aa:ff:11:4a]

RSSI: -73 [da:ee:aa:ff:0c:bb]

RSSI: -53 [da:ee:aa:ff:11:4a]

RSSI: -74 [da:ee:aa:ff:0c:bb]

RSSI: -71 [da:ee:aa:ff:0c:bb]

RSSI: -71 [da:ee:aa:ff:0c:bb]

RSSI: -71 [da:ee:aa:ff:0c:db]

RSSI: -71 [da:ee:aa:ff:0c:db]

RSSI: -71 [da:ee:aa:ff:0c:db]

RSSI: -73 [da:ee:aa:ff:0c:db]

RSSI: -58 [da:ee:aa:ff:11:5a]

RSSI: -71 [da:ee:aa:ff:0c:db]

RSSI: -58 [da:ee:aa:ff:11:5a]

RSSI: -71 [da:ee:aa:ff:0c:db]

RSSI: -58 [da:ee:aa:ff:11:5a]

RSSI: -71 [da:ee:aa:ff:0c:db]

RSSI: -69 [da:ee:aa:ff:0c:eb]

RSSI: -55 [da:ee:aa:ff:11:7a]

RSSI: -55 [da:ee:aa:ff:11:7a]

RSSI: -69 [da:ee:aa:ff:0c:eb]

RSSI: -55 [da:ee:aa:ff:11:7a]

RSSI: -69 [da:ee:aa:ff:0c:eb]

RSSI: -55 [da:ee:aa:ff:11:7a]

RSSI: -69 [da:ee:aa:ff:0c:eb]

RSSI: -55 [da:ee:aa:ff:11:9a]

RSSI: -55 [da:ee:aa:ff:11:9a]

RSSI: -68 [da:ee:aa:ff:0c:fb]

RSSI: -69 [da:ee:aa:ff:0c:fb]

RSSI: -55 [da:ee:aa:ff:11:9a]

RSSI: -69 [da:ee:aa:ff:0c:fb]

RSSI: -60 [da:ee:aa:ff:11:aa]

RSSI: -73 [da:ee:aa:ff:0d:1b]

RSSI: -59 [da:ee:aa:ff:11:aa]

RSSI: -74 [da:ee:aa:ff:0d:1b]

RSSI: -60 [da:ee:aa:ff:11:aa]

RSSI: -74 [da:ee:aa:ff:0d:1b]

RSSI: -60 [da:ee:aa:ff:11:aa]

RSSI: -74 [da:ee:aa:ff:0d:1b]

RSSI: -60 [da:ee:aa:ff:11:aa]

RSSI: -73 [da:ee:aa:ff:0d:1b]

RSSI: -60 [da:ee:aa:ff:11:aa]

RSSI: -74 [da:ee:aa:ff:0d:1b]

RSSI: -60 [da:ee:aa:ff:11:aa]

RSSI: -74 [da:ee:aa:ff:0d:1b]

RSSI: -60 [da:ee:aa:ff:11:aa]

RSSI: -74 [da:ee:aa:ff:0d:1b]

RSSI: -74 [da:ee:aa:ff:0d:1b]

RSSI: -60 [da:ee:aa:ff:11:ca]

RSSI: -58 [da:ee:aa:ff:11:ca]

RSSI: -86 [da:ee:aa:ff:07:0c]

RSSI: -58 [da:ee:aa:ff:11:ca]

RSSI: -58 [da:ee:aa:ff:11:ca]

RSSI: -86 [da:ee:aa:ff:07:0c]

RSSI: -58 [da:ee:aa:ff:11:ea]

RSSI: -72 [da:ee:aa:ff:0d:4b]

RSSI: -59 [da:ee:aa:ff:11:ea]

RSSI: -59 [da:ee:aa:ff:11:ea]

RSSI: -58 [da:ee:aa:ff:11:ea]

RSSI: -71 [da:ee:aa:ff:0d:4b]

RSSI: -58 [da:ee:aa:ff:11:ea]

RSSI: -72 [da:ee:aa:ff:0d:4b]

RSSI: -59 [da:ee:aa:ff:11:ea]

RSSI: -55 [da:ee:aa:ff:12:0a]

RSSI: -69 [da:ee:aa:ff:0d:6b]

RSSI: -55 [da:ee:aa:ff:12:0a]

RSSI: -69 [da:ee:aa:ff:0d:6b]

RSSI: -55 [da:ee:aa:ff:12:0a]

RSSI: -70 [da:ee:aa:ff:0d:6b]

RSSI: -55 [da:ee:aa:ff:12:0a]

RSSI: -69 [da:ee:aa:ff:0d:6b]

RSSI: -55 [da:ee:aa:ff:12:0a]

RSSI: -69 [da:ee:aa:ff:0d:6b]

RSSI: -55 [da:ee:aa:ff:12:0a]

RSSI: -70 [da:ee:aa:ff:0d:6b]

RSSI: -55 [da:ee:aa:ff:12:0a]

RSSI: -70 [da:ee:aa:ff:0d:6b]

RSSI: -55 [da:ee:aa:ff:12:2a]

RSSI: -69 [da:ee:aa:ff:0d:8b]

RSSI: -60 [da:ee:aa:ff:12:2a]

RSSI: -74 [da:ee:aa:ff:0d:8b]

RSSI: -60 [da:ee:aa:ff:12:2a]

RSSI: -87 [da:ee:aa:ff:07:3c]

RSSI: -60 [da:ee:aa:ff:12:4a]

RSSI: -73 [da:ee:aa:ff:0d:9b]

RSSI: -73 [da:ee:aa:ff:0d:9b]

