

Initialized RTC: 0x01Dev config complete
SCAN START
RSSI: -74 [da:ee:aa:ff:02:0b]

RSSI: -55 [da:ee:aa:ff:15:7a]

RSSI: -77 [da:ee:aa:ff:0f:4c]

RSSI: -54 [da:ee:aa:ff:15:8a]

RSSI: -73 [da:ee:aa:ff:02:1b]

RSSI: -54 [da:ee:aa:ff:15:8a]

RSSI: -74 [da:ee:aa:ff:02:1b]

RSSI: -79 [da:ee:aa:ff:0f:4c]

RSSI: -54 [da:ee:aa:ff:15:8a]

RSSI: -54 [da:ee:aa:ff:15:8a]

RSSI: -75 [da:ee:aa:ff:02:5b]

RSSI: -53 [da:ee:aa:ff:15:ba]

RSSI: -74 [da:ee:aa:ff:02:5b]

RSSI: -53 [da:ee:aa:ff:15:ba]

RSSI: -74 [da:ee:aa:ff:02:5b]

RSSI: -75 [da:ee:aa:ff:02:5b]

RSSI: -75 [da:ee:aa:ff:02:5b]

RSSI: -79 [da:ee:aa:ff:0f:9c]

RSSI: -54 [da:ee:aa:ff:15:ca]

RSSI: -73 [da:ee:aa:ff:02:7b]

RSSI: -54 [da:ee:aa:ff:15:ca]

RSSI: -79 [da:ee:aa:ff:0f:9c]

RSSI: -73 [da:ee:aa:ff:02:8b]

RSSI: -73 [da:ee:aa:ff:02:8b]

RSSI: -80 [da:ee:aa:ff:0f:9c]

RSSI: -73 [da:ee:aa:ff:02:8b]

RSSI: -72 [da:ee:aa:ff:02:ab]

RSSI: -77 [da:ee:aa:ff:0f:cc]

RSSI: -53 [da:ee:aa:ff:15:fa]

RSSI: -72 [da:ee:aa:ff:02:ab]

RSSI: -77 [da:ee:aa:ff:0f:cc]

RSSI: -80 [da:ee:aa:ff:0f:cc]

RSSI: -53 [da:ee:aa:ff:15:fa]

RSSI: -72 [da:ee:aa:ff:02:ab]

RSSI: -78 [da:ee:aa:ff:0f:cc]

RSSI: -53 [da:ee:aa:ff:15:fa]

RSSI: -72 [da:ee:aa:ff:02:ab]

RSSI: -78 [da:ee:aa:ff:0f:cc]

RSSI: -81 [da:ee:aa:ff:0f:dc]

RSSI: -81 [da:ee:aa:ff:0f:dc]

RSSI: -54 [da:ee:aa:ff:16:3a]

RSSI: -81 [da:ee:aa:ff:0f:dc]

RSSI: -75 [da:ee:aa:ff:02:db]

RSSI: -54 [da:ee:aa:ff:16:3a]

RSSI: -76 [da:ee:aa:ff:02:db]

RSSI: -54 [da:ee:aa:ff:16:3a]

RSSI: -82 [da:ee:aa:ff:0f:fc]

RSSI: -76 [da:ee:aa:ff:02:db]

RSSI: -54 [da:ee:aa:ff:16:3a]

RSSI: -52 [da:ee:aa:ff:16:4a]

RSSI: -71 [da:ee:aa:ff:02:fb]

RSSI: -73 [da:ee:aa:ff:10:0c]

RSSI: -51 [da:ee:aa:ff:16:4a]

RSSI: -72 [da:ee:aa:ff:02:fb]

RSSI: -45 [da:ee:aa:ff:16:4a]

RSSI: -72 [da:ee:aa:ff:02:fb]

RSSI: -66 [da:ee:aa:ff:10:0c]

RSSI: -72 [da:ee:aa:ff:02:fb]

RSSI: -52 [da:ee:aa:ff:16:5a]

RSSI: -72 [da:ee:aa:ff:02:fb]

RSSI: -54 [da:ee:aa:ff:16:6a]

RSSI: -78 [da:ee:aa:ff:10:4c]

RSSI: -78 [da:ee:aa:ff:10:4c]

RSSI: -79 [da:ee:aa:ff:10:4c]

RSSI: -56 [da:ee:aa:ff:00:0a]

RSSI: -78 [da:ee:aa:ff:03:5b]

RSSI: -55 [da:ee:aa:ff:00:1a]

RSSI: -54 [da:ee:aa:ff:00:2a]

RSSI: -74 [da:ee:aa:ff:03:9b]

RSSI: -55 [da:ee:aa:ff:00:2a]

RSSI: -74 [da:ee:aa:ff:03:9b]

RSSI: -55 [da:ee:aa:ff:00:2a]

RSSI: -74 [da:ee:aa:ff:03:9b]

RSSI: -55 [da:ee:aa:ff:00:2a]

RSSI: -74 [da:ee:aa:ff:03:9b]

RSSI: -80 [da:ee:aa:ff:10:9c]

RSSI: -74 [da:ee:aa:ff:03:9b]

RSSI: -55 [da:ee:aa:ff:00:3a]

RSSI: -75 [da:ee:aa:ff:03:bb]

RSSI: -56 [da:ee:aa:ff:00:4a]

RSSI: -81 [da:ee:aa:ff:10:bc]

RSSI: -75 [da:ee:aa:ff:03:bb]

RSSI: -56 [da:ee:aa:ff:00:4a]

RSSI: -80 [da:ee:aa:ff:10:bc]

RSSI: -75 [da:ee:aa:ff:03:bb]

RSSI: -56 [da:ee:aa:ff:00:4a]

RSSI: -75 [da:ee:aa:ff:03:bb]

RSSI: -56 [da:ee:aa:ff:00:4a]

RSSI: -80 [da:ee:aa:ff:10:cc]

RSSI: -56 [da:ee:aa:ff:00:4a]

RSSI: -83 [da:ee:aa:ff:10:ec]

RSSI: -55 [da:ee:aa:ff:00:5a]

RSSI: -77 [da:ee:aa:ff:03:eb]

RSSI: -82 [da:ee:aa:ff:10:ec]

RSSI: -77 [da:ee:aa:ff:03:eb]

RSSI: -76 [da:ee:aa:ff:03:eb]

RSSI: -55 [da:ee:aa:ff:00:7a]

RSSI: -77 [da:ee:aa:ff:03:eb]

RSSI: -55 [da:ee:aa:ff:00:7a]

RSSI: -76 [da:ee:aa:ff:04:0b]

RSSI: -56 [da:ee:aa:ff:00:9a]

RSSI: -76 [da:ee:aa:ff:04:0b]

RSSI: -57 [da:ee:aa:ff:00:9a]

RSSI: -75 [da:ee:aa:ff:04:0b]

RSSI: -57 [da:ee:aa:ff:00:9a]

RSSI: -56 [da:ee:aa:ff:00:9a]

RSSI: -76 [da:ee:aa:ff:04:2b]

RSSI: -55 [da:ee:aa:ff:00:da]

RSSI: -76 [da:ee:aa:ff:04:2b]

RSSI: -81 [da:ee:aa:ff:11:3c]

RSSI: -76 [da:ee:aa:ff:04:2b]

RSSI: -81 [da:ee:aa:ff:11:3c]

RSSI: -77 [da:ee:aa:ff:04:2b]

RSSI: -81 [da:ee:aa:ff:11:3c]

RSSI: -55 [da:ee:aa:ff:00:da]

RSSI: -77 [da:ee:aa:ff:04:2b]

RSSI: -56 [da:ee:aa:ff:00:fa]

RSSI: -83 [da:ee:aa:ff:11:5c]

RSSI: -83 [da:ee:aa:ff:11:5c]

RSSI: -55 [da:ee:aa:ff:01:1a]

RSSI: -57 [da:ee:aa:ff:01:3a]

RSSI: -76 [da:ee:aa:ff:04:7b]

RSSI: -57 [da:ee:aa:ff:01:3a]

RSSI: -76 [da:ee:aa:ff:04:7b]

RSSI: -57 [da:ee:aa:ff:01:3a]

RSSI: -77 [da:ee:aa:ff:04:7b]

RSSI: -57 [da:ee:aa:ff:01:3a]

RSSI: -76 [da:ee:aa:ff:04:7b]

RSSI: -81 [da:ee:aa:ff:11:8c]

RSSI: -58 [da:ee:aa:ff:01:3a]

RSSI: -59 [da:ee:aa:ff:01:5a]

