loggingTime(txt),loggingSample(N),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationSpeedAccuracy(m/s),locationCourse(°),locationCourseAccuracy(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z)
2025-02-18T10:31:08.049Z,1,1739874667.999806,53.38755769695254,-1.483103129484832,73.12077,0,1.229935,104.4181117771578,180,3.358337601346096,4.748273958837442,-9999
2025-02-18T10:31:09.046Z,2,1739874668.999791,53.38755769695254,-1.483103129484832,73.12077,0,1.213659,104.4181117771578,180,3.359192458071751,4.747669224200724,-9999
2025-02-18T10:31:10.043Z,3,1739874669.999776,53.38755427513106,-1.483103120836714,73.41425,0.08827396,1.39707,104.4181132348607,180,3.35857947924733,4.748102875293203,-9999
2025-02-18T10:31:11.047Z,4,1739874670.999761,53.38755903455591,-1.483115201652986,72.90445,0.1539124,1.572213,104.4181023047363,180,3.363267293180904,4.744783466862152,-9999
2025-02-18T10:31:12.044Z,5,1739874671.999747,53.38756765719853,-1.483135057684525,73.18831,0.1329734,1.490517,104.4180840006459,180,3.363489914120174,4.744625657562533,-9999
2025-02-18T10:31:13.048Z,6,1739874672.999732,53.38757364119076,-1.48315345873015,73.05737,0.1318257,1.485604,104.4180678889809,180,3.364536933765765,4.743883246256689,-9999
2025-02-18T10:31:14.043Z,7,1739874673.999718,53.38758036748237,-1.483172471129732,72.97201,0.1380366,1.512956,104.4180510115061,180,3.364637741207933,4.743811748291453,-9999
2025-02-18T10:31:15.043Z,8,1739874674.999703,53.38758844951794,-1.483191339245356,73.05938,0.1447067,1.539617,104.418033665435,180,3.365426291146187,4.743252355889454,-9999
2025-02-18T10:31:16.045Z,9,1739874675.999687,53.38759708386625,-1.483217582872031,72.92125,0.1784408,1.684159,104.4180106445151,180,3.365842819325449,4.742956793855932,-9999
2025-02-18T10:31:17.044Z,10,1739874676.999673,53.38760441643243,-1.48324094296665,72.96968,0.1381453,1.519105,104.4179903027791,180,3.366573447844213,4.742438218159426,-9999
2025-02-18T10:31:18.050Z,11,1739874677.999658,53.38761136191501,-1.483260748247387,72.94667,0.1437111,1.53586,104.4179727474443,180,3.366290015915098,4.742639408761661,-9999
2025-02-18T10:31:19.050Z,12,1739874678.999643,53.38762000574634,-1.483288620989421,72.97874,0.1502117,1.565886,104.4179485207562,180,3.367025521179246,4.742117266845735,-9999
2025-02-18T10:31:20.045Z,13,1739874679.999632,53.38762674000044,-1.483306123728564,72.98878,0.1469898,1.552381,104.4179327534853,180,3.365833941240451,4.742963094183066,-9999
2025-02-18T10:31:21.045Z,14,1739874680.999618,53.38763211828983,-1.483326643340602,73.08443,0.1292099,1.474462,104.4179153359161,180,3.365638037796083,4.743102110573729,-9999
2025-02-18T10:31:22.045Z,15,1739874681.999599,53.38763763399541,-1.483348722168838,73.11387,0.1376076,1.510225,104.4178967098937,180,3.365486059985078,4.743209948213862,-9999
2025-02-18T10:31:23.047Z,16,1739874682.999583,53.3876444259835,-1.483365129922064,73.01412,0.1356888,1.506584,104.4178817258472,180,3.365157803532458,4.743442841451073,-9999
2025-02-18T10:31:24.045Z,17,1739874683.999568,53.38765143592987,-1.483388353324965,73.07262,0.1448915,1.540864,104.4178616217438,180,3.365426635082728,4.743252111860025,-9999
2025-02-18T10:31:25.042Z,18,1739874684.999553,53.38765896616663,-1.483407982347915,73.18156,0.1350727,1.504199,104.417843948376,180,3.36644303323803,4.74253079449696,-9999
