
Initialized RTC: 0x01Dev config complete
SCAN START
RSSI: -84 [da:00:04:4e:0c:dc]
RSSI: -83 [da:00:04:5e:0d:0c]
RSSI: -78 [da:00:04:6d:0d:3c]
RSSI: -83 [da:00:04:6d:0d:3c]
RSSI: -83 [da:00:04:79:0d:5c]
RSSI: -76 [da:00:04:79:0d:5c]
RSSI: -76 [da:00:04:79:0d:5c]
RSSI: -81 [da:00:04:88:0d:8c]
RSSI: -75 [da:00:04:88:0d:8c]
RSSI: -74 [da:00:04:97:0d:bc]
RSSI: -74 [da:00:04:97:0d:bc]
RSSI: -80 [da:00:04:97:0d:bc]
RSSI: -76 [da:00:04:a4:0d:dc]
RSSI: -78 [da:00:04:a4:0d:dc]
RSSI: -76 [da:00:04:b3:0e:0c]
RSSI: -77 [da:00:04:b3:0e:0c]
RSSI: -81 [da:00:04:c2:0e:3c]
RSSI: -75 [da:00:04:cf:0e:5c]
RSSI: -81 [da:00:04:cf:0e:5c]
RSSI: -77 [da:00:04:de:0e:8c]
RSSI: -76 [da:00:04:de:0e:8c]
RSSI: -81 [da:00:04:ed:0e:bc]
RSSI: -78 [da:00:04:ed:0e:bc]
RSSI: -83 [da:00:04:fa:0e:ec]
RSSI: -74 [da:00:05:09:0f:0c]
RSSI: -77 [da:00:05:18:0f:3c]
RSSI: -77 [da:00:05:18:0f:3c]
RSSI: -87 [da:00:05:25:0f:5c]
RSSI: -78 [da:00:05:25:0f:5c]
RSSI: -83 [da:00:05:34:0f:8c]
RSSI: -83 [da:00:05:34:0f:8c]
RSSI: -72 [da:00:05:43:0f:bc]
RSSI: -79 [da:00:05:4f:0f:dc]
RSSI: -72 [da:00:05:4f:0f:dc]
RSSI: -80 [da:00:05:5f:10:0c]
RSSI: -75 [da:00:05:5f:10:0c]
RSSI: -77 [da:00:05:6e:10:3c]
RSSI: -74 [da:00:05:7a:10:5c]
RSSI: -76 [da:00:05:8a:10:8c]
RSSI: -74 [da:00:05:8a:10:8c]
RSSI: -75 [da:00:05:99:10:bc]
RSSI: -76 [da:00:05:99:10:bc]
RSSI: -76 [da:00:05:a5:10:dc]
RSSI: -72 [da:00:05:b4:11:0c]
RSSI: -74 [da:00:05:c4:11:3c]
RSSI: -74 [da:00:05:d0:11:5c]
RSSI: -74 [da:00:05:d0:11:5c]
RSSI: -74 [da:00:05:d0:11:5c]
RSSI: -73 [da:00:05:d0:11:5c]
RSSI: -73 [da:00:05:df:11:8c]
RSSI: -73 [da:00:05:ee:11:bc]
RSSI: -71 [da:00:05:fb:11:dc]
RSSI: -75 [da:00:06:0a:12:0c]
RSSI: -71 [da:00:06:0a:12:0c]
RSSI: -73 [da:00:06:19:12:3c]
RSSI: -74 [da:00:06:19:12:3c]
RSSI: -77 [da:00:06:26:12:6c]
RSSI: -73 [da:00:06:35:12:8c]
RSSI: -74 [da:00:06:44:12:bc]
RSSI: -73 [da:00:06:44:12:bc]
RSSI: -79 [da:00:06:51:12:dc]
RSSI: -74 [da:00:06:51:12:dc]
RSSI: -74 [da:00:06:51:12:dc]
RSSI: -80 [da:00:06:60:13:0c]
RSSI: -78 [da:00:06:6f:13:3c]
RSSI: -77 [da:00:06:7c:13:5c]
RSSI: -80 [da:00:06:7c:13:5c]
RSSI: -78 [da:00:06:8b:13:8c]
RSSI: -79 [da:00:06:9a:00:2c]
RSSI: -86 [da:00:06:9a:00:2c]
RSSI: -79 [da:00:06:a7:00:5c]
RSSI: -81 [da:00:06:b6:00:7c]
RSSI: -82 [da:00:06:c5:00:ac]
RSSI: -90 [da:00:06:d2:00:dc]
RSSI: -80 [da:00:06:e1:01:0c]
RSSI: -85 [da:00:06:f0:01:2c]
RSSI: -82 [da:00:06:f0:01:2c]
RSSI: -83 [da:00:06:fd:01:5c]
RSSI: -85 [da:00:06:fd:01:5c]
RSSI: -83 [da:00:07:0c:01:8c]
RSSI: -85 [da:00:07:1b:01:bc]
RSSI: -81 [da:00:07:1b:01:bc]
RSSI: -89 [da:00:07:28:01:dc]
RSSI: -84 [da:00:07:28:01:dc]
RSSI: -77 [da:00:07:37:02:0c]
RSSI: -85 [da:00:07:47:02:3c]
RSSI: -77 [da:00:07:47:02:3c]
RSSI: -81 [da:00:07:53:02:5c]
RSSI: -83 [da:00:07:62:02:8c]
RSSI: -79 [da:00:07:62:02:8c]
RSSI: -82 [da:00:07:72:02:bc]
RSSI: -79 [da:00:07:7e:02:dc]
RSSI: -79 [da:00:07:7e:02:dc]
RSSI: -78 [da:00:07:8e:03:0c]
RSSI: -79 [da:00:07:9d:03:3c]
RSSI: -79 [da:00:07:9d:03:3c]
RSSI: -68 [da:00:07:a9:03:5c]
RSSI: -80 [da:00:07:a9:03:5c]
RSSI: -67 [da:00:07:b9:03:8c]
RSSI: -86 [da:00:07:c8:03:bc]
RSSI: -79 [da:00:07:c8:03:bc]
RSSI: -77 [da:00:07:d4:03:dc]
RSSI: -76 [da:00:07:e4:04:0c]
RSSI: -73 [da:00:07:f3:04:3c]
RSSI: -70 [da:00:07:f3:04:3c]
RSSI: -69 [da:00:08:00:04:5c]
RSSI: -68 [da:00:08:00:04:5c]
RSSI: -69 [da:00:08:0f:04:8c]
RSSI: -65 [da:00:08:0f:04:8c]
RSSI: -61 [da:00:08:1e:04:bc]
RSSI: -67 [da:00:08:1e:04:bc]
RSSI: -63 [da:00:08:2b:04:dc]
RSSI: -58 [da:00:08:2b:04:dc]
RSSI: -62 [da:00:08:3a:05:0c]
RSSI: -66 [da:00:08:49:05:3c]
RSSI: -56 [da:00:08:56:05:5c]
RSSI: -65 [da:00:08:56:05:5c]
RSSI: -55 [da:00:08:65:05:8c]
RSSI: -55 [da:00:08:65:05:8c]
RSSI: -65 [da:00:08:74:05:bc]
RSSI: -60 [da:00:08:74:05:bc]
RSSI: -66 [da:00:08:81:05:dc]
RSSI: -60 [da:00:08:81:05:dc]
RSSI: -56 [da:00:08:90:06:0c]
RSSI: -67 [da:00:08:90:06:0c]
RSSI: -60 [da:00:08:a0:06:3c]
RSSI: -57 [da:00:08:a0:06:3c]
RSSI: -61 [da:00:08:ac:06:6c]
RSSI: -62 [da:00:08:ac:06:6c]
RSSI: -69 [da:00:08:bc:06:8c]
RSSI: -63 [da:00:08:bc:06:8c]
RSSI: -71 [da:00:08:cb:06:bc]
RSSI: -65 [da:00:08:d7:06:ec]
RSSI: -63 [da:00:08:d7:06:ec]
RSSI: -69 [da:00:08:e7:07:0c]
RSSI: -80 [da:00:09:03:07:6c]
RSSI: -81 [da:00:09:03:07:6c]
RSSI: -73 [da:00:09:12:07:8c]
RSSI: -71 [da:00:09:12:07:8c]
RSSI: -74 [da:00:09:21:07:bc]
RSSI: -72 [da:00:09:21:07:bc]
RSSI: -72 [da:00:09:2e:07:ec]
RSSI: -65 [da:00:09:3d:08:0c]
RSSI: -73 [da:00:09:3d:08:0c]
RSSI: -69 [da:00:09:4d:08:3c]
RSSI: -67 [da:00:09:4d:08:3c]
RSSI: -70 [da:00:09:59:08:6c]
RSSI: -70 [da:00:09:59:08:6c]
RSSI: -76 [da:00:09:69:08:9c]
RSSI: -74 [da:00:09:69:08:9c]
RSSI: -75 [da:00:09:78:08:bc]
RSSI: -78 [da:00:09:78:08:bc]
RSSI: -89 [da:00:09:84:08:ec]
RSSI: -72 [da:00:09:84:08:ec]
RSSI: -75 [da:00:09:94:09:1c]
RSSI: -75 [da:00:09:a3:09:4c]
RSSI: -75 [da:00:09:a3:09:4c]
RSSI: -73 [da:00:09:b0:09:6c]
RSSI: -73 [da:00:09:b0:09:6c]
RSSI: -78 [da:00:09:bf:09:9c]
RSSI: -73 [da:00:09:ce:09:cc]
RSSI: -75 [da:00:09:ce:09:cc]
RSSI: -74 [da:00:09:db:09:ec]
RSSI: -74 [da:00:09:db:09:ec]
RSSI: -78 [da:00:09:eb:0a:1c]
RSSI: -73 [da:00:09:eb:0a:1c]
RSSI: -73 [da:00:09:eb:0a:1c]
RSSI: -72 [da:00:09:fa:0a:4c]
RSSI: -74 [da:00:09:fa:0a:4c]
RSSI: -71 [da:00:0a:06:0a:6c]
RSSI: -72 [da:00:0a:16:0a:9c]
RSSI: -72 [da:00:0a:16:0a:9c]
RSSI: -79 [da:00:0a:25:0a:cc]
RSSI: -73 [da:00:0a:25:0a:cc]
RSSI: -76 [da:00:0a:32:0a:ec]
RSSI: -76 [da:00:0a:32:0a:ec]
RSSI: -73 [da:00:0a:41:0b:1c]
RSSI: -73 [da:00:0a:51:0b:4c]
RSSI: -73 [da:00:0a:51:0b:4c]
RSSI: -75 [da:00:0a:5d:0b:6c]
RSSI: -77 [da:00:0a:6d:0b:9c]
RSSI: -81 [da:00:0a:7c:0b:cc]
RSSI: -82 [da:00:0a:7c:0b:cc]
RSSI: -80 [da:00:0a:89:0b:ec]
RSSI: -83 [da:00:0a:89:0b:ec]
RSSI: -82 [da:00:0a:98:0c:1c]
RSSI: -82 [da:00:0a:a7:0c:4c]
RSSI: -76 [da:00:0a:a7:0c:4c]
RSSI: -81 [da:00:0a:b4:0c:7c]
RSSI: -88 [da:00:0a:c3:0c:ac]
RSSI: -82 [da:00:0a:c3:0c:ac]
RSSI: -82 [da:00:0a:c3:0c:ac]
RSSI: -78 [da:00:0a:d3:0c:cc]
RSSI: -76 [da:00:0a:df:0c:fc]
RSSI: -88 [da:00:0a:ef:0d:2c]
RSSI: -88 [da:00:0a:ef:0d:2c]
RSSI: -87 [da:00:0a:fe:0d:5c]
RSSI: -86 [da:00:0a:fe:0d:5c]
RSSI: -84 [da:00:0b:0b:0d:7c]
RSSI: -85 [da:00:0b:1a:0d:ac]
RSSI: -87 [da:00:0b:2a:0d:dc]
RSSI: -86 [da:00:0b:36:0d:fc]
RSSI: -84 [da:00:0b:36:0d:fc]
RSSI: -83 [da:00:0b:36:0d:fc]
RSSI: -84 [da:00:0b:46:0e:2c]
RSSI: -80 [da:00:0b:55:0e:5c]
RSSI: -82 [da:00:0b:62:0e:7c]
RSSI: -84 [da:00:0b:71:0e:ac]
RSSI: -86 [da:00:0b:80:0e:dc]
