loggingTime(txt),loggingSample(N),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationSpeedAccuracy(m/s),locationCourse(°),locationCourseAccuracy(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z)
2025-02-18T10:33:12.039Z,1,1739874791.999748,53.38816938783781,-1.483501432168602,70.84434,0,1.05378,42.5815081737135,180,3.353472090610182,4.751711478013728,-9999
2025-02-18T10:33:13.046Z,2,1739874792.99974,53.38816425891135,-1.483504308408498,70.07761,0.05679928,1.363238,42.58150528652757,180,3.350493753540508,4.753812011457213,-9999
2025-02-18T10:33:14.041Z,3,1739874793.999731,53.3881589975325,-1.483507706866609,69.9365,0.08950929,1.396298,42.58150201676902,180,3.360856756150367,4.746491219567068,-9999
2025-02-18T10:33:15.045Z,4,1739874794.999722,53.38814679560031,-1.483516400367368,69.94154,0.170993,1.459013,42.58149387538529,180,3.366782619393681,4.742289724019132,-9999
2025-02-18T10:33:16.049Z,5,1739874795.999714,53.38813467443487,-1.483535677717899,69.91139,0.09906868,1.359321,42.5814784706632,180,3.370155176651179,4.739893576661832,-9999
2025-02-18T10:33:17.043Z,6,1739874796.999703,53.38812405047198,-1.483553707813245,70.26867,0.1474636,1.361197,42.58146418905491,180,3.372049568921514,4.73854605733922,-9999
2025-02-18T10:33:18.047Z,7,1739874797.999694,53.38811505397125,-1.483576196141742,70.45997,0.142813,1.369632,42.5814471304507,180,3.37097665015014,4.739309386074239,-9999
2025-02-18T10:33:19.044Z,8,1739874798.999684,53.38810898485702,-1.483595910495495,70.57227,0.1175216,1.357691,42.58143249834903,180,3.371557255727899,4.738896359294788,-9999
2025-02-18T10:33:20.042Z,9,1739874799.999673,53.38810111708486,-1.483619210078796,70.82336,0.1623299,1.363801,42.58141508205173,180,3.370857266129775,4.739394299292783,-9999
2025-02-18T10:33:21.046Z,10,1739874800.999662,53.38809211291058,-1.483643602148019,70.88467,0.1402522,1.36225,42.58139671304494,180,3.371242282650378,4.73912043574112,-9999
2025-02-18T10:33:22.038Z,11,1739874801.999652,53.38808599993977,-1.483669733063099,70.64716,0.1858251,1.508335,42.58137766101945,180,3.358043685118921,4.748481824922759,-9999
2025-02-18T10:33:23.041Z,12,1739874802.999641,53.38811431667834,-1.483700252654667,70.86407,1.545852,1.13448,332.4067506363915,40.13096844395485,3.35618924472107,4.749792709835604,-9999
2025-02-18T10:33:24.041Z,13,1739874803.99963,53.38807729875591,-1.483718956016217,70.93469,1.158954,1.124765,245.4624069989452,39.66240596743713,3.379454213931497,4.733268030518605,-9999
2025-02-18T10:33:25.039Z,14,1739874804.999618,53.38806634242822,-1.483743626158392,71.31406,1.511659,1.131421,239.4998075834718,29.24860405545258,3.383349874391342,4.730484188774435,-9999
2025-02-18T10:33:26.043Z,15,1739874805.999607,53.38805681952019,-1.483769560688889,71.33361,1.676272,1.210719,240.2810736758361,28.61435492685056,3.381172128022681,4.732041005049662,-9999
2025-02-18T10:33:27.040Z,16,1739874806.999595,53.38804771000532,-1.483788745264382,71.01642,1.663876,1.131869,237.2790455222697,27.85470943126206,3.380263835453531,4.732689873160275,-9999
2025-02-18T10:33:28.043Z,17,1739874807.999583,53.38803925282437,-1.483811291853318,70.90689,1.87198,0.9387693,239.0126106707898,20.74654150466177,3.379837369670643,4.732994441932788,-9999
2025-02-18T10:33:29.038Z,18,1739874808.99957,53.3880314291001,-1.483831742178146,70.68668,1.790222,0.9589754,239.5301389275095,22.75170611637684,3.38225192533267,4.731269274346186,-9999
2025-02-18T10:33:30.043Z,19,1739874809.999558,53.38802219472008,-1.483849392977718,70.8904,1.767893,0.9605724,236.0145558066164,24.19221209521416,3.381807183228452,4.731587176440193,-9999
2025-02-18T10:33:31.041Z,20,1739874810.999545,53.38801247984465,-1.483868633086283,71.13383,1.782025,0.9381776,235.2018284979932,23.86657620550416,3.381796796758318,4.731594599944507,-9999
2025-02-18T10:33:32.041Z,21,1739874811.999533,53.38800337756597,-1.483890341094906,71.19328,1.830076,0.8958539,236.21333894522,22.10370276923112,3.382711371009637,4.730940795785859,-9999
2025-02-18T10:33:33.054Z,22,1739874812.99952,53.38799852583506,-1.483914764030207,70.92257,1.827576,0.9016011,243.8087201923273,21.19817925552859,3.381334302051421,4.73192512309306,-9999
2025-02-18T10:33:34.044Z,23,1739874813.999507,53.3879914945102,-1.483934727659114,71.25243,1.83732,0.8109825,244.5211440044718,20.46666635573574,3.382907480982924,4.730800567335153,-9999
2025-02-18T10:33:35.046Z,24,1739874814.999495,53.38798545378953,-1.483955741652247,71.25129,1.784634,0.9537458,242.9748259838881,22.2970163201935,3.382169849060864,4.731327947298988,-9999
2025-02-18T10:33:36.042Z,25,1739874815.99948,53.38797552840715,-1.483973224383256,71.39915,1.718279,0.9638152,237.3323671950198,24.65790329574192,3.379952093665923,4.732912515281915,-9999
2025-02-18T10:33:37.044Z,26,1739874816.999468,53.3879665825107,-1.483989664530589,71.26577,1.705889,0.948345,234.4821294293745,24.74867995657079,3.380932778184826,4.732212017881729,-9999
2025-02-18T10:33:38.048Z,27,1739874817.999455,53.38795872770181,-1.48400333136082,71.40321,1.688187,0.8687265,231.2059766838177,23.26322007731258,3.382828348346517,4.730857152611143,-9999
2025-02-18T10:33:39.046Z,28,1739874818.999441,53.38794707951625,-1.484014364147866,71.6824,1.78151,0.7294191,224.6527755294045,22.0263707940633,3.384626197861959,4.729571072891847,-9999
2025-02-18T10:33:40.048Z,29,1739874819.999428,53.38793409408799,-1.48402617427612,71.90186,1.772567,0.8045933,220.3925822794725,22.65993886287445,3.388955464807299,4.726469918484785,-9999
2025-02-18T10:33:41.047Z,30,1739874820.999414,53.38792444671076,-1.48404304109756,72.06921,1.797044,0.8313151,222.1644586770475,24.07916863876084,3.391453893258242,4.724677504623183,-9999
2025-02-18T10:33:42.046Z,31,1739874821.999401,53.38791428882451,-1.484060294459516,72.20207,1.860234,0.7489935,221.9865613870639,21.59418746457097,3.390184723774045,4.725588277820862,-9999
2025-02-18T10:33:43.038Z,32,1739874822.999387,53.38790507459469,-1.484075025840792,72.28426,1.748736,0.8398634,223.0978371762455,22.71945144717108,3.386294864500713,4.728376478607106,-9999
2025-02-18T10:33:44.043Z,33,1739874823.999373,53.38789497221022,-1.484093641673523,72.22748,1.856526,0.7472981,224.7145114035934,21.11642413022587,3.387573318133185,4.72746063411013,-9999
2025-02-18T10:33:45.042Z,34,1739874824.999359,53.38788472344474,-1.48412197228197,72.6673,2.023481,0.7523001,230.0584817517207,21.18414239312026,3.384949699524664,4.729339548444024,-9999
2025-02-18T10:33:46.040Z,35,1739874825.999345,53.38786359482781,-1.48411096103456,72.27405,1.949465,0.80242,199.4064092729648,22.76641712392179,3.381724408752901,4.731646336745137,-9999
2025-02-18T10:33:47.041Z,36,1739874826.999332,53.38785974737081,-1.48413143888253,72.45975,1.797832,0.7023617,207.9801931256684,22.81387036942027,3.390377430680985,4.725450021989212,-9999
2025-02-18T10:33:48.042Z,37,1739874827.999319,53.38785149978482,-1.484148806872309,72.48003,1.768974,0.7125304,218.5519919303759,22.5608152945731,3.390391406957125,4.725439994373025,-9999
2025-02-18T10:33:49.037Z,38,1739874828.999304,53.38783985993584,-1.484162640415217,72.67776,1.778996,0.8302943,217.3690897042591,24.28058125895467,3.387904445715862,4.72722333928571,-9999
